WGS84 UTM 34N
-61.46787624328863 33.13351614587009 295.426
-61.46787624328863 33.13351614587009 295.426
-61.46787624328863 33.13351614587009 295.426
-70.67286416725256 25.006340713240206 295.442
-70.67286416725256 25.006340713240206 295.442
-70.67286416725256 25.006340713240206 295.442
-70.67286416725256 25.006340713240206 295.442
-70.67286416725256 25.006340713240206 295.442
-79.91954651463311 16.801094866357744 295.418
-79.91954651463311 16.801094866357744 295.418
-79.91954651463311 16.801094866357744 295.418
-79.91954651463311 16.801094866357744 295.418
-79.91954651463311 16.801094866357744 295.418
-89.25764419150073 8.617575533688068 295.431
-89.25764419150073 8.617575533688068 295.431
-89.25764419150073 8.617575533688068 295.431
-89.25764419150073 8.617575533688068 295.431
-89.25764419150073 8.617575533688068 295.431
